Key = key-370, Value = value-8611003614900965347, Score = 2
Key = key-39, ValueA = , ValueB = value-5658873155543732857, Score = 1
Key = key-39, Value = value-8471217756411798215, Score = 2
Key = key-36, ValueA = , ValueB = value-5783318001889757170, Score = 1
Key = key-36, ValueA = , ValueB = value-6919764613510021652, Score = 1
Key = key-36, ValueA = , ValueB = value-6288117073608080611, Score = 1
Key = key-36, ValueA = , ValueB = value-5180353113936496233, Score = 1
Key = key-460, ValueA = , ValueB = value-2367274503201861213, Score = 1
Key = key-36, ValueA = , ValueB = value-2574756241093117533, Score = 1
Key = key-460, ValueA = , ValueB = value-8023738234970549583, Score = 1
Key = key-36, ValueA = , ValueB = value-4563859271864277438, Score = 1
Key = key-460, ValueA = , ValueB = value-8848417055741934817, Score = 1
Key = key-36, ValueA = , ValueB = value-2454646039502426494, Score = 1
Key = key-461, ValueA = , ValueB = value-5527439436502445279, Score = 1
Key = key-461, ValueA = , ValueB = value-572932267778747288, Score = 1
Key = key-461, ValueA = , ValueB = value-1834373856773773183, Score = 1
Key = key-461, ValueA = , ValueB = value-4262673918700364555, Score = 1
Key = key-461, ValueA = , ValueB = value-3031158637835032860, Score = 1
Key = key-461, ValueA = , ValueB = value-5621153547550125748, Score = 1
Key = key-461, ValueA = , ValueB = value-6146663398598156068, Score = 1
Key = key-461, Value = value-5527439436502445279, Score = 2
Key = key-38, ValueA = , ValueB = value-3222377971314029425, Score = 1
Key = key-38, ValueA = , ValueB = value-6037114357010883777, Score = 1
Key = key-38, ValueA = , ValueB = value-5391501860467439690, Score = 1
Key = key-38, ValueA = , ValueB = value-3097910572915576770, Score = 1
Key = key-38, ValueA = , ValueB = value-7935577516214073015, Score = 1
Key = key-38, Value = value-3222377971314029425, Score = 2
Key = key-224, ValueA = , ValueB = value-1474605268932428415, Score = 1
Key = key-224, ValueA = , ValueB = value-622773987492835102, Score = 1
Key = key-224, ValueA = , ValueB = value-7288726482847731605, Score = 1
Key = key-224, ValueA = , ValueB = value-8969486793420139035, Score = 1
Key = key-224, ValueA = , ValueB = value-8185075138286925315, Score = 1
Key = key-224, ValueA = , ValueB = value-7593198254989772236, Score = 1
Key = key-224, ValueA = , ValueB = value-3631607659430227560, Score = 1
Key = key-467, Value = value-7567339502584835620, Score = 2
Key = key-32, Value = value-4080508650205895924, Score = 2
Key = key-225, ValueA = , ValueB = value-7017336796654979011, Score = 1
Key = key-225, ValueA = , ValueB = value-4955970519481585295, Score = 1
Key = key-225, ValueA = , ValueB = value-3696878475189438618, Score = 1
Key = key-225, ValueA = , ValueB = value-7958560087110167775, Score = 1
Key = key-225, ValueA = , ValueB = value-2918909813636289464, Score = 1
Key = key-225, ValueA = , ValueB = value-5090560629405550468, Score = 1
Key = key-225, ValueA = , ValueB = value-4475875355621804279, Score = 1
Key = key-225, ValueA = , ValueB = value-7322941784779184890, Score = 1
Key = key-225, Value = value-7017336796654979011, Score = 2
Key = key-465, ValueA = , ValueB = value-1092645628660546861, Score = 1
Key = key-465, ValueA = , ValueB = value-8529084514247843640, Score = 1
Key = key-465, ValueA = , ValueB = value-7544096460633611792, Score = 1
Key = key-465, ValueA = , ValueB = value-1991028020362257187, Score = 1
Key = key-465, ValueA = , ValueB = value-983728307482087151, Score = 1
Key = key-465, ValueA = , ValueB = value-2899484638802343385, Score = 1
Key = key-465, ValueA = , ValueB = value-882455832863588957, Score = 1
Key = key-465, ValueA = , ValueB = value-3219910479202330532, Score = 1
Key = key-229, ValueA = , ValueB = value-7441227092284580681, Score = 1
Key = key-229, ValueA = , ValueB = value-7232321576086673071, Score = 1
Key = key-229, ValueA = , ValueB = value-4168643858725620900, Score = 1
Key = key-229, ValueA = , ValueB = value-7107013482364636859, Score = 1
Key = key-229, ValueA = , ValueB = value-2893601819874700561, Score = 1
Key = key-229, ValueA = , ValueB = value-3263538892272549494, Score = 1
Key = key-229, ValueA = , ValueB = value-1240258296478882529, Score = 1
Key = key-229, ValueA = , ValueB = value-7709282879166741453, Score = 1
Key = key-229, ValueA = , ValueB = value-8956102674695932270, Score = 1
Key = key-229, ValueA = , ValueB = value-7852731868891002317, Score = 1
Key = key-468, ValueA = , ValueB = value-7826370833848097263, Score = 1
Key = key-468, ValueA = , ValueB = value-3431455074957112063, Score = 1
Key = key-468, ValueA = , ValueB = value-6149456033900780326, Score = 1
Key = key-468, ValueA = , ValueB = value-4486307441748205706, Score = 1
Key = key-227, ValueA = , ValueB = value-3761929682923955906, Score = 1
Key = key-227, ValueA = , ValueB = value-1527735227281821250, Score = 1
Key = key-227, ValueA = , ValueB = value-3954735678741042388, Score = 1
Key = key-469, Value = value-1478804402920460367, Score = 2
Key = key-480, ValueA = , ValueB = value-7489394370903343272, Score = 1
Key = key-480, ValueA = , ValueB = value-8886670050472369219, Score = 1
Key = key-480, ValueA = , ValueB = value-46598587423771813, Score = 1
Key = key-480, ValueA = , ValueB = value-1209322767238098757, Score = 1
Key = key-480, ValueA = , ValueB = value-4104892398111689632, Score = 1
Key = key-480, Value = value-7489394370903343272, Score = 2
Key = key-231, Value = value-8422631653425316795, Score = 2
Key = key-474, ValueA = , ValueB = value-266753868808911235, Score = 1
Key = key-474, ValueA = , ValueB = value-8966998084095265463, Score = 1
Key = key-474, ValueA = , ValueB = value-812668195160614237, Score = 1
Key = key-474, ValueA = , ValueB = value-1484723058721356592, Score = 1
Key = key-474, ValueA = , ValueB = value-1074938423467699999, Score = 1
Key = key-474, ValueA = , ValueB = value-667189054054283049, Score = 1
Key = key-474, ValueA = , ValueB = value-4532469705556106454, Score = 1
Key = key-474, Value = value-266753868808911235, Score = 2
Key = key-232, ValueA = , ValueB = value-9043977686595382299, Score = 1
Key = key-232, ValueA = , ValueB = value-4522898450514574350, Score = 1
Key = key-232, ValueA = , ValueB = value-3534731860842891986, Score = 1
Key = key-232, ValueA = , ValueB = value-7397924158511809490, Score = 1
Key = key-232, ValueA = , ValueB = value-1502847725458863139, Score = 1
Key = key-232, ValueA = , ValueB = value-8971776122057576309, Score = 1
Key = key-232, ValueA = , ValueB = value-7312918830742242988, Score = 1
Key = key-232, ValueA = , ValueB = value-3024024686553392328, Score = 1
Key = key-232, ValueA = , ValueB = value-446878259102675267, Score = 1
Key = key-471, Value = value-7730606833773243178, Score = 2
Key = key-230, ValueA = , ValueB = value-7691492190941680821, Score = 1
Key = key-230, ValueA = , ValueB = value-2426540627590668251, Score = 1
Key = key-230, ValueA = , ValueB = value-8287774227965341777, Score = 1
Key = key-230, ValueA = , ValueB = value-2185162212018580352, Score = 1
Key = key-230, ValueA = , ValueB = value-1290233894748062746, Score = 1
Key = key-230, ValueA = , ValueB = value-3345093630752903972, Score = 1
Key = key-230, Value = value-7691492190941680821, Score = 2
Key = key-235, ValueA = , ValueB = value-7257244741328741344, Score = 1
Key = key-235, ValueA = , ValueB = value-7146385300504638763, Score = 1
Key = key-235, ValueA = , ValueB = value-1485400406692608884, Score = 1
Key = key-235, ValueA = , ValueB = value-7092609032610733710, Score = 1
Key = key-235, ValueA = , ValueB = value-6414834555276508834, Score = 1
Key = key-477, ValueA = , ValueB = value-4631191244394431862, Score = 1
Key = key-477, ValueA = , ValueB = value-8896612236596191284, Score = 1
Key = key-477, ValueA = , ValueB = value-5287314349560978311, Score = 1
Key = key-477, ValueA = , ValueB = value-3833881453014192572, Score = 1
Key = key-477, ValueA = , ValueB = value-8601099540269488612, Score = 1
Key = key-477, ValueA = , ValueB = value-4639439469322135872, Score = 1
Key = key-477, ValueA = , ValueB = value-7548064135500392852, Score = 1
Key = key-104, Value = value-6720709710665913393, Score = 2
Key = key-478, Value = value-6368253721329315109, Score = 2
Key = key-101, ValueA = , ValueB = value-8278223349862591769, Score = 1
Key = key-101, ValueA = , ValueB = value-6397380511472246975, Score = 1
Key = key-101, ValueA = , ValueB = value-6632021866018237590, Score = 1
Key = key-101, ValueA = , ValueB = value-7640396997891562739, Score = 1
Key = key-101, ValueA = , ValueB = value-1125848524882338659, Score = 1
Key = key-101, ValueA = , ValueB = value-3056754258504501578, Score = 1
Key = key-101, ValueA = , ValueB = value-1789938421934903112, Score = 1
Key = key-101, ValueA = , ValueB = value-1276625342094917745, Score = 1
Key = key-101, ValueA = , ValueB = value-5614532663956408172, Score = 1
Key = key-236, ValueA = , ValueB = value-1690564234143138178, Score = 1
Key = key-236, ValueA = , ValueB = value-8880615660282244992, Score = 1
Key = key-101, Value = value-8278223349862591769, Score = 2
Key = key-236, ValueA = , ValueB = value-2396360319749180733, Score = 1
Key = key-236, ValueA = , ValueB = value-6511292546651405318, Score = 1
Key = key-236, ValueA = , ValueB = value-6428852977616222622, Score = 1
Key = key-236, ValueA = , ValueB = value-6681665965948318428, Score = 1
Key = key-236, ValueA = , ValueB = value-7434617269314880947, Score = 1
Key = key-236, ValueA = , ValueB = value-5467188104343813683, Score = 1
Key = key-236, ValueA = , ValueB = value-1977593577413548718, Score = 1
Key = key-236, ValueA = , ValueB = value-7910658326782370174, Score = 1
Key = key-585, Value = value-7844502358948887131, Score = 2
Key = key-475, ValueA = , ValueB = value-4382530908261677510, Score = 1
Key = key-475, ValueA = , ValueB = value-1778232636042697040, Score = 1
Key = key-475, ValueA = , ValueB = value-6580333856336787935, Score = 1
Key = key-475, ValueA = , ValueB = value-5427054709525555891, Score = 1
Key = key-475, ValueA = , ValueB = value-4452545966779475108, Score = 1
Key = key-475, ValueA = , ValueB = value-3802019052245811989, Score = 1
Key = key-475, ValueA = , ValueB = value-9136859960524820650, Score = 1
Key = key-343, ValueA = , ValueB = value-4439275910240457255, Score = 1
Key = key-475, ValueA = , ValueB = value-1292515796452207237, Score = 1
Key = key-343, ValueA = , ValueB = value-1654309276751972103, Score = 1
Key = key-475, ValueA = , ValueB = value-7813328507031336763, Score = 1
Key = key-343, ValueA = , ValueB = value-7249699277444193309, Score = 1
Key = key-475, ValueA = , ValueB = value-5296657178901542882, Score = 1
Key = key-343, ValueA = , ValueB = value-3358714826998861651, Score = 1
Key = key-343, ValueA = , ValueB = value-5325672704312097288, Score = 1
Key = key-343, ValueA = , ValueB = value-2277617737734961537, Score = 1
Key = key-343, ValueA = , ValueB = value-6694450845119972612, Score = 1
Key = key-31, ValueA = , ValueB = value-8972728525261767653, Score = 1
Key = key-343, ValueA = , ValueB = value-8406958809824387911, Score = 1
Key = key-343, ValueA = , ValueB = value-1401067287259003448, Score = 1
Key = key-161, Value = value-2560415784378438618, Score = 2
Key = key-344, Value = value-1702519721131065183, Score = 2
Key = key-162, ValueA = , ValueB = value-3786194016871867599, Score = 1
Key = key-162, ValueA = , ValueB = value-2259535138540693109, Score = 1
Key = key-162, ValueA = , ValueB = value-7232127619587110266, Score = 1
Key = key-162, ValueA = , ValueB = value-3869348643765346234, Score = 1
Key = key-162, ValueA = , ValueB = value-4029202083877302234, Score = 1
Key = key-162, ValueA = , ValueB = value-9113274762865368387, Score = 1
Key = key-162, ValueA = , ValueB = value-6781356818241610230, Score = 1
Key = key-162, ValueA = , ValueB = value-8751290788066219547, Score = 1
Key = key-160, Value = value-5542760111919133390, Score = 2
Key = key-102, Value = value-6409541705376933360, Score = 2
Key = key-396, ValueA = , ValueB = value-7431559297774373641, Score = 1
Key = key-396, ValueA = , ValueB = value-5355883677206589999, Score = 1
Key = key-396, ValueA = , ValueB = value-5285960404879446518, Score = 1
Key = key-396, ValueA = , ValueB = value-3472250167966963964, Score = 1
Key = key-396, ValueA = , ValueB = value-3135782292263378787, Score = 1
Key = key-396, ValueA = , ValueB = value-1598728977111141217, Score = 1
Key = key-396, ValueA = , ValueB = value-2425978015795126664, Score = 1
Key = key-396, ValueA = , ValueB = value-3102146265573578608, Score = 1
Key = key-396, ValueA = , ValueB = value-2770424499251704666, Score = 1
Key = key-396, Value = value-7431559297774373641, Score = 2
Key = key-87, Value = value-368204341949771944, Score = 2
Key = key-107, ValueA = , ValueB = value-2405567987724550239, Score = 1
Key = key-107, ValueA = , ValueB = value-7258830362572410373, Score = 1
Key = key-107, ValueA = , ValueB = value-9193153284594539600, Score = 1
Key = key-107, ValueA = , ValueB = value-7607570498071966538, Score = 1
Key = key-107, ValueA = , ValueB = value-3840921216772288826, Score = 1
Key = key-107, ValueA = , ValueB = value-4896240874450203636, Score = 1
Key = key-107, ValueA = , ValueB = value-2404647951157867933, Score = 1
Key = key-107, ValueA = , ValueB = value-7156153963981558827, Score = 1
Key = key-108, ValueA = , ValueB = value-473700112432183030, Score = 1
Key = key-108, ValueA = , ValueB = value-1286334800879929644, Score = 1
Key = key-108, ValueA = , ValueB = value-2989703874810755199, Score = 1
Key = key-108, ValueA = , ValueB = value-7812375806098620886, Score = 1
Key = key-108, ValueA = , ValueB = value-6659969993091345156, Score = 1
Key = key-108, ValueA = , ValueB = value-689879404534608741, Score = 1
Key = key-108, Value = value-473700112432183030, Score = 2
Key = key-397, ValueA = , ValueB = value-3940544885948684304, Score = 1
Key = key-397, ValueA = , ValueB = value-8152122348689796410, Score = 1
Key = key-397, ValueA = , ValueB = value-8593664955456211634, Score = 1
Key = key-397, ValueA = , ValueB = value-2038997502687069559, Score = 1
Key = key-397, ValueA = , ValueB = value-5284720451360006063, Score = 1
Key = key-397, ValueA = , ValueB = value-8494029349960417695, Score = 1
Key = key-475, Value = value-4382530908261677510, Score = 2
Key = key-397, ValueA = , ValueB = value-7665090083928772237, Score = 1
Key = key-397, ValueA = , ValueB = value-431915791877880400, Score = 1
Key = key-397, ValueA = , ValueB = value-785612469739635647, Score = 1
Key = key-397, ValueA = , ValueB = value-2786967293372915324, Score = 1
Key = key-397, Value = value-3940544885948684304, Score = 2
Key = key-86, ValueA = , ValueB = value-4034789289315058339, Score = 1
Key = key-86, ValueA = , ValueB = value-32321836322613974, Score = 1
Key = key-86, ValueA = , ValueB = value-1635156473787167590, Score = 1
Key = key-86, ValueA = , ValueB = value-7544406993734241205, Score = 1
Key = key-86, ValueA = , ValueB = value-2807238805050416086, Score = 1
Key = key-86, ValueA = , ValueB = value-6020463371509807563, Score = 1
Key = key-86, Value = value-4034789289315058339, Score = 2
Key = key-152, Value = value-3341140423116047431, Score = 2
Key = key-476, Value = value-6549484969007662369, Score = 2
Key = key-348, ValueA = , ValueB = value-1170919888821019869, Score = 1
Key = key-348, ValueA = , ValueB = value-2029065688116047391, Score = 1
Key = key-348, ValueA = , ValueB = value-7565009062939598552, Score = 1
Key = key-348, ValueA = , ValueB = value-1954838241359049645, Score = 1
Key = key-348, ValueA = , ValueB = value-2760028794445361738, Score = 1
Key = key-348, ValueA = , ValueB = value-6637084014683190143, Score = 1
Key = key-348, ValueA = , ValueB = value-2932256037099633529, Score = 1
Key = key-348, ValueA = , ValueB = value-5756822244368638424, Score = 1
Key = key-394, ValueA = , ValueB = value-638722393593109352, Score = 1
Key = key-394, ValueA = , ValueB = value-4785948295742012468, Score = 1
Key = key-394, ValueA = , ValueB = value-2851156662969897574, Score = 1
Key = key-394, ValueA = , ValueB = value-6556762307725874619, Score = 1
Key = key-394, ValueA = , ValueB = value-8731511079289260633, Score = 1
Key = key-394, ValueA = , ValueB = value-1424669446334698747, Score = 1
Key = key-394, ValueA = , ValueB = value-934248087493258194, Score = 1
Key = key-394, ValueA = , ValueB = value-5593368977355690401, Score = 1
Key = key-394, ValueA = , ValueB = value-872211479834241621, Score = 1
Key = key-394, ValueA = , ValueB = value-6287849513493855533, Score = 1
Key = key-394, ValueA = , ValueB = value-6781937781245491091, Score = 1
Key = key-394, ValueA = , ValueB = value-2953188523657379731, Score = 1
Key = key-394, Value = value-638722393593109352, Score = 2
Key = key-109, ValueA = , ValueB = value-2656406818240519002, Score = 1
Key = key-109, ValueA = , ValueB = value-2844948812194560659, Score = 1
Key = key-109, ValueA = , ValueB = value-453535482312500083, Score = 1
Key = key-109, ValueA = , ValueB = value-7172009892323708507, Score = 1
Key = key-109, ValueA = , ValueB = value-6557025502223310922, Score = 1
Key = key-109, ValueA = , ValueB = value-3042902073765200482, Score = 1
Key = key-109, ValueA = , ValueB = value-6986894749371205507, Score = 1
Key = key-109, ValueA = , ValueB = value-7480351589518211499, Score = 1
Key = key-89, ValueA = , ValueB = value-5385785745673464353, Score = 1
Key = key-109, ValueA = , ValueB = value-1059195540891868888, Score = 1
Key = key-89, ValueA = , ValueB = value-244279123322004179, Score = 1
Key = key-109, ValueA = , ValueB = value-5381532357897340373, Score = 1
Key = key-89, ValueA = , ValueB = value-1123483286108490266, Score = 1
Key = key-89, ValueA = , ValueB = value-8290823635575665610, Score = 1
Key = key-109, Value = value-2656406818240519002, Score = 2
Key = key-89, ValueA = , ValueB = value-2007523637813095192, Score = 1
Key = key-89, ValueA = , ValueB = value-286501911079834737, Score = 1
Key = key-89, ValueA = , ValueB = value-2517534199487477171, Score = 1
Key = key-89, ValueA = , ValueB = value-2792067370320099375, Score = 1
Key = key-89, ValueA = , ValueB = value-9120969054117396179, Score = 1
Key = key-479, Value = value-7854054850608417224, Score = 2
Key = key-88, ValueA = , ValueB = value-1163034106455581768, Score = 1
Key = key-360, ValueA = , ValueB = value-3080318803519291151, Score = 1
Key = key-88, ValueA = , ValueB = value-5473920379259094282, Score = 1
Key = key-360, ValueA = , ValueB = value-4715174097943905196, Score = 1
Key = key-88, ValueA = , ValueB = value-578696120497565771, Score = 1
Key = key-360, ValueA = , ValueB = value-7698769094205872893, Score = 1
Key = key-88, ValueA = , ValueB = value-4852493510289684475, Score = 1
Key = key-360, ValueA = , ValueB = value-8082123524173437249, Score = 1
Key = key-360, ValueA = , ValueB = value-3444221833567313612, Score = 1
Key = key-360, Value = value-3080318803519291151, Score = 2
Key = key-395, Value = value-7277557881877234712, Score = 2
Key = key-110, Value = value-3828979237542597652, Score = 2
Key = key-31, ValueA = , ValueB = value-7117540769732714843, Score = 1
Key = key-682, ValueA = , ValueB = value-8897325551497501781, Score = 1
Key = key-31, ValueA = , ValueB = value-1720790865515893067, Score = 1
Key = key-682, ValueA = , ValueB = value-2157325684328329573, Score = 1
Key = key-682, ValueA = , ValueB = value-1033218889981069875, Score = 1
Key = key-153, ValueA = , ValueB = value-8607956007843003237, Score = 1
Key = key-682, ValueA = , ValueB = value-2910444655554478151, Score = 1
Key = key-153, ValueA = , ValueB = value-3573714996383860116, Score = 1
Key = key-682, ValueA = , ValueB = value-2005184071255928426, Score = 1
Key = key-153, ValueA = , ValueB = value-2335369335128497255, Score = 1
Key = key-682, ValueA = , ValueB = value-1284236436904913560, Score = 1
Key = key-153, ValueA = , ValueB = value-4860953758547893283, Score = 1
Key = key-682, ValueA = , ValueB = value-174421947502971333, Score = 1
Key = key-153, ValueA = , ValueB = value-3943334807538054819, Score = 1
Key = key-682, ValueA = , ValueB = value-7361226502610420050, Score = 1
Key = key-682, ValueA = , ValueB = value-6570669404326204868, Score = 1
Key = key-153, Value = value-8607956007843003237, Score = 2
Key = key-682, ValueA = , ValueB = value-1520770320728886310, Score = 1
Key = key-682, ValueA = , ValueB = value-2454337301608872983, Score = 1
Key = key-682, Value = value-8897325551497501781, Score = 2
Key = key-352, ValueA = , ValueB = value-560199060631438627, Score = 1
Key = key-352, ValueA = , ValueB = value-1003468512339227775, Score = 1
Key = key-352, ValueA = , ValueB = value-8867895010946466806, Score = 1
Key = key-158, ValueA = , ValueB = value-6985317247127625520, Score = 1
Key = key-352, ValueA = , ValueB = value-2736855559686698197, Score = 1
Key = key-158, ValueA = , ValueB = value-7132389509933053787, Score = 1
Key = key-352, ValueA = , ValueB = value-9196144293316153252, Score = 1
Key = key-158, ValueA = , ValueB = value-1469921610567482922, Score = 1
Key = key-352, Value = value-560199060631438627, Score = 2
Key = key-158, ValueA = , ValueB = value-121404172298917296, Score = 1
Key = key-158, ValueA = , ValueB = value-7096728718457516305, Score = 1
Key = key-158, ValueA = , ValueB = value-8108562532212653286, Score = 1
Key = key-83, ValueA = , ValueB = value-9102503856616501382, Score = 1
Key = key-83, ValueA = , ValueB = value-6560324457440234592, Score = 1
Key = key-83, ValueA = , ValueB = value-1025476701133148694, Score = 1
Key = key-83, ValueA = , ValueB = value-9058437153880283781, Score = 1
Key = key-83, ValueA = , ValueB = value-941446367563950846, Score = 1
Key = key-85, ValueA = , ValueB = value-1396640332825378290, Score = 1
Key = key-85, ValueA = , ValueB = value-5231464259677980972, Score = 1
Key = key-85, ValueA = , ValueB = value-2982693912033457489, Score = 1
Key = key-85, ValueA = , ValueB = value-7538262689477574090, Score = 1
Key = key-85, ValueA = , ValueB = value-3054806165306888316, Score = 1
Key = key-85, ValueA = , ValueB = value-1607983785875597736, Score = 1
Key = key-85, ValueA = , ValueB = value-4640016321021144320, Score = 1
Key = key-85, ValueA = , ValueB = value-767348604715956163, Score = 1
Key = key-85, ValueA = , ValueB = value-271858055643506781, Score = 1
Key = key-85, ValueA = , ValueB = value-6835201568333470277, Score = 1
Key = key-156, ValueA = , ValueB = value-3574534451676102250, Score = 1
Key = key-156, ValueA = , ValueB = value-5976058558158760140, Score = 1
Key = key-156, ValueA = , ValueB = value-6637305858933264562, Score = 1
Key = key-156, ValueA = , ValueB = value-6153206618514234058, Score = 1
Key = key-156, ValueA = , ValueB = value-6175697714397841362, Score = 1
Key = key-156, ValueA = , ValueB = value-4811362199835850815, Score = 1
Key = key-156, ValueA = , ValueB = value-4719437653918830831, Score = 1
Key = key-156, ValueA = , ValueB = value-3409643824761253997, Score = 1
Key = key-156, ValueA = , ValueB = value-5932552726066200965, Score = 1
Key = key-156, ValueA = , ValueB = value-5041621087849161336, Score = 1
Key = key-156, ValueA = , ValueB = value-8737688204834997000, Score = 1
Key = key-156, ValueA = , ValueB = value-2770440328801729570, Score = 1
Key = key-156, Value = value-3574534451676102250, Score = 2
Key = key-398, Value = value-914262932097718425, Score = 2
Key = key-84, ValueA = , ValueB = value-2229039983674022606, Score = 1
Key = key-84, ValueA = , ValueB = value-2276821119276841142, Score = 1
Key = key-84, ValueA = , ValueB = value-106669819787347189, Score = 1
Key = key-84, ValueA = , ValueB = value-5864496556606444886, Score = 1
Key = key-84, ValueA = , ValueB = value-3311055427168351448, Score = 1
Key = key-84, ValueA = , ValueB = value-6376793543444592513, Score = 1
Key = key-84, ValueA = , ValueB = value-1509123247077153031, Score = 1
Key = key-84, ValueA = , ValueB = value-8334852725388603361, Score = 1
Key = key-84, ValueA = , ValueB = value-394744202439675273, Score = 1
Key = key-84, ValueA = , ValueB = value-4537118407044425038, Score = 1
Key = key-84, Value = value-2229039983674022606, Score = 2
Key = key-399, Value = value-2401051623427264519, Score = 2
Key = key-31, ValueA = , ValueB = value-845546850365420158, Score = 1
Key = key-31, ValueA = , ValueB = value-7553485450829857037, Score = 1
Key = key-31, Value = value-8972728525261767653, Score = 2
Key = key-157, Value = value-6751162160738882851, Score = 2
Key = key-34, ValueA = , ValueB = value-7044392820396780900, Score = 1
Key = key-34, ValueA = , ValueB = value-5115603612733355788, Score = 1
Key = key-34, ValueA = , ValueB = value-2837603559036875500, Score = 1
Key = key-34, ValueA = , ValueB = value-1406037251454445603, Score = 1
Key = key-34, ValueA = , ValueB = value-7215094120353793883, Score = 1
Key = key-34, ValueA = , ValueB = value-4762086384822160470, Score = 1
Key = key-34, ValueA = , ValueB = value-5064500018140416387, Score = 1
Key = key-34, ValueA = , ValueB = value-2657960559280164874, Score = 1
Key = key-34, ValueA = , ValueB = value-3510469285596338416, Score = 1
Key = key-34, ValueA = , ValueB = value-4350808327376483445, Score = 1
Key = key-34, Value = value-7044392820396780900, Score = 2
Key = key-594, Value = value-8517341763766729899, Score = 2
Key = key-80, ValueA = , ValueB = value-5549124946184155271, Score = 1
Key = key-80, ValueA = , ValueB = value-5562882005738332703, Score = 1
Key = key-80, ValueA = , ValueB = value-8722668902492806406, Score = 1
Key = key-33, ValueA = , ValueB = value-3598314459172244049, Score = 1
Key = key-80, ValueA = , ValueB = value-8532222070708783864, Score = 1
Key = key-33, ValueA = , ValueB = value-1393108470002088570, Score = 1
Key = key-80, ValueA = , ValueB = value-679548451481249890, Score = 1
Key = key-33, ValueA = , ValueB = value-5331005415029815016, Score = 1
Key = key-80, ValueA = , ValueB = value-344202545345432604, Score = 1
Key = key-33, ValueA = , ValueB = value-3745253260285977641, Score = 1
Key = key-80, ValueA = , ValueB = value-4914070297459489697, Score = 1
Key = key-33, ValueA = , ValueB = value-8080112963423410319, Score = 1
Key = key-80, ValueA = , ValueB = value-4101229682849854882, Score = 1
Key = key-33, ValueA = , ValueB = value-1717917011346379789, Score = 1
Key = key-33, ValueA = , ValueB = value-4280040295992211647, Score = 1
Key = key-33, ValueA = , ValueB = value-2425250740627086822, Score = 1
Key = key-33, ValueA = , ValueB = value-425800657453405945, Score = 1
Key = key-190, ValueA = , ValueB = value-7422631619183373533, Score = 1
Key = key-190, ValueA = , ValueB = value-2232531290669919851, Score = 1
Key = key-190, ValueA = , ValueB = value-3639451434973888639, Score = 1
Key = key-190, ValueA = , ValueB = value-973302897265763571, Score = 1
Key = key-190, ValueA = , ValueB = value-1634295511553715643, Score = 1
Key = key-190, ValueA = , ValueB = value-2838277061934740280, Score = 1
Key = key-30, Value = value-6711173046119747446, Score = 2
Key = key-190, Value = value-7422631619183373533, Score = 2
Key = key-47, Value = value-3088593233889448778, Score = 2
Key = key-191, ValueA = , ValueB = value-5539565813849223311, Score = 1
Key = key-191, ValueA = , ValueB = value-5188005095320160232, Score = 1
Key = key-683, ValueA = , ValueB = value-7876653406568796135, Score = 1
Key = key-191, ValueA = , ValueB = value-272433469673631359, Score = 1
Key = key-683, ValueA = , ValueB = value-268507310385042982, Score = 1
Key = key-191, ValueA = , ValueB = value-4333096868838108751, Score = 1
Key = key-683, ValueA = , ValueB = value-7199731391041804875, Score = 1
Key = key-191, ValueA = , ValueB = value-6294831641966175930, Score = 1
Key = key-683, ValueA = , ValueB = value-6960394223288329638, Score = 1
Key = key-46, ValueA = , ValueB = value-2829140340603689942, Score = 1
Key = key-191, ValueA = , ValueB = value-9191346500453658358, Score = 1
Key = key-46, ValueA = , ValueB = value-4016468417636013647, Score = 1
Key = key-191, ValueA = , ValueB = value-4009444834257558919, Score = 1
Key = key-191, ValueA = , ValueB = value-5163395444683031201, Score = 1
Key = key-191, ValueA = , ValueB = value-1332775006240455688, Score = 1
Key = key-683, ValueA = , ValueB = value-6856718055816525793, Score = 1
Key = key-191, ValueA = , ValueB = value-8084132069832113270, Score = 1
Key = key-683, ValueA = , ValueB = value-1033744984930896646, Score = 1
Key = key-191, ValueA = , ValueB = value-184003423460371806, Score = 1
Key = key-683, ValueA = , ValueB = value-2997759212204897040, Score = 1
Key = key-191, ValueA = , ValueB = value-8543412701970839721, Score = 1
Key = key-683, ValueA = , ValueB = value-292186460880918367, Score = 1
Key = key-683, ValueA = , ValueB = value-6151610962927977247, Score = 1
Key = key-683, ValueA = , ValueB = value-297902498700515468, Score = 1
Key = key-683, ValueA = , ValueB = value-219342976827476782, Score = 1
Key = key-683, ValueA = , ValueB = value-7018770047595835830, Score = 1
Key = key-683, ValueA = , ValueB = value-7912584840879030408, Score = 1
Key = key-683, Value = value-7876653406568796135, Score = 2
Key = key-194, Value = value-8709993756017106299, Score = 2
Key = key-680, ValueA = , ValueB = value-3996842424879388418, Score = 1
Key = key-680, ValueA = , ValueB = value-8248412875356989307, Score = 1
Key = key-680, ValueA = , ValueB = value-406806753667828642, Score = 1
Key = key-680, ValueA = , ValueB = value-330159592242428417, Score = 1
Key = key-680, ValueA = , ValueB = value-4824670139225378113, Score = 1
Key = key-680, ValueA = , ValueB = value-4380375837209816059, Score = 1
Key = key-680, ValueA = , ValueB = value-1174203154053361786, Score = 1
Key = key-680, ValueA = , ValueB = value-158693683517923488, Score = 1
Key = key-680, ValueA = , ValueB = value-3091966371429193023, Score = 1
Key = key-680, ValueA = , ValueB = value-6401473004548002952, Score = 1
