Key = key-673146, ValueA = , ValueB = value-8621165726093895168, Score = 1
Key = key-524970, ValueA = , ValueB = value-7629403588452075420, Score = 1
Key = key-573418, ValueA = , ValueB = value-7637485591328687052, Score = 1
Key = key-416805, ValueA = , ValueB = value-579937027851045901, Score = 1
Key = key-720031, ValueA = , ValueB = value-3555722111435562966, Score = 1
Key = key-277455, ValueA = , ValueB = value-1582236716734600270, Score = 1
Key = key-245026, ValueA = , ValueB = value-5435886840366038941, Score = 1
Key = key-445411, ValueA = , ValueB = value-6082925374291152857, Score = 1
Key = key-980379, ValueA = , ValueB = value-2987632231681856034, Score = 1
Key = key-195814, ValueA = , ValueB = value-6782401941993258207, Score = 1
Key = key-195814, ValueA = , ValueB = value-7917555141562788473, Score = 1
Key = key-734701, ValueA = , ValueB = value-4594288883042272129, Score = 1
Key = key-156242, ValueA = , ValueB = value-3944062212137450996, Score = 1
Key = key-195789, ValueA = , ValueB = value-1587874596968231569, Score = 1
Key = key-587958, ValueA = , ValueB = value-1280834837395548705, Score = 1
Key = key-470552, ValueA = , ValueB = value-3685093004780508879, Score = 1
Key = key-195791, ValueA = , ValueB = value-1559900391333618208, Score = 1
Key = key-552080, ValueA = , ValueB = value-1179424794704023152, Score = 1
Key = key-127387, ValueA = , ValueB = value-8608808653723650594, Score = 1
Key = key-955523, ValueA = , ValueB = value-5269707459506628683, Score = 1
Key = key-566619, ValueA = , ValueB = value-2457975022758914719, Score = 1
Key = key-566619, ValueA = , ValueB = value-1552133820611393253, Score = 1
Key = key-214501, ValueA = , ValueB = value-5407500065892857541, Score = 1
Key = key-156126, ValueA = , ValueB = value-4479611373881419161, Score = 1
Key = key-416411, ValueA = , ValueB = value-2837237126901312991, Score = 1
Key = key-891574, ValueA = , ValueB = value-4678579250768308116, Score = 1
Key = key-587824, ValueA = , ValueB = value-7865134584923490645, Score = 1
Key = key-566624, ValueA = , ValueB = value-6607681487072612539, Score = 1
Key = key-566623, ValueA = , ValueB = value-5478156831211011332, Score = 1
Key = key-734899, ValueA = , ValueB = value-7584627588426653170, Score = 1
Key = key-577096, ValueA = , ValueB = value-1538111401259092670, Score = 1
Key = key-441573, ValueA = , ValueB = value-8891806809004724503, Score = 1
Key = key-441573, ValueA = , ValueB = value-4732392522965229048, Score = 1
Key = key-445196, ValueA = , ValueB = value-151448113593143058, Score = 1
Key = key-189041, ValueA = , ValueB = value-3522662155569040736, Score = 1
Key = key-602568, ValueA = , ValueB = value-2770171979502782720, Score = 1
Key = key-416513, ValueA = , ValueB = value-3525710273428206218, Score = 1
Key = key-503647, ValueA = , ValueB = value-5374910330043040656, Score = 1
Key = key-713981, ValueA = , ValueB = value-3920711664585129977, Score = 1
Key = key-713981, ValueA = , ValueB = value-7968775093630736962, Score = 1
Key = key-259353, ValueA = , ValueB = value-4937400195438675118, Score = 1
Key = key-445374, ValueA = , ValueB = value-7505830778212212996, Score = 1
Key = key-445374, ValueA = , ValueB = value-5147302173315284138, Score = 1
Key = key-980866, ValueA = , ValueB = value-7083479461544838558, Score = 1
Key = key-720404, ValueA = , ValueB = value-8748789847671117312, Score = 1
Key = key-798550, ValueA = , ValueB = value-107734147240953662, Score = 1
Key = key-831113, ValueA = , ValueB = value-7779925043062624230, Score = 1
Key = key-660480, ValueA = , ValueB = value-1174279390994605900, Score = 1
Key = key-980711, ValueA = , ValueB = value-4609533085381061970, Score = 1
Key = key-72544, ValueA = , ValueB = value-3606909989706230877, Score = 1
Key = key-152479, ValueA = , ValueB = value-6160508530144965036, Score = 1
Key = key-170415, ValueA = , ValueB = value-5324113356234403529, Score = 1
Key = key-841296, ValueA = , ValueB = value-3283607202713921489, Score = 1
Key = key-44183, ValueA = , ValueB = value-5732550532032421506, Score = 1
Key = key-635466, ValueA = , ValueB = value-6108384981546994059, Score = 1
Key = key-852288, ValueA = , ValueB = value-8828911473920960533, Score = 1
Key = key-277274, ValueA = , ValueB = value-4232336330470155518, Score = 1
Key = key-371374, ValueA = , ValueB = value-6183469208731685291, Score = 1
Key = key-371467, ValueA = , ValueB = value-5484456554822323327, Score = 1
Key = key-58698, ValueA = , ValueB = value-8890948243664620138, Score = 1
Key = key-649912, ValueA = , ValueB = value-6933693071266474147, Score = 1
Key = key-44090, ValueA = , ValueB = value-4446262483582351029, Score = 1
Key = key-445062, ValueA = , ValueB = value-326068522644169748, Score = 1
Key = key-720626, ValueA = , ValueB = value-141178773703797593, Score = 1
Key = key-602205, ValueA = , ValueB = value-5648748199634331209, Score = 1
Key = key-998728, ValueA = , ValueB = value-1607237675482910863, Score = 1
Key = key-346427, ValueA = , ValueB = value-7508223352873118243, Score = 1
Key = key-170773, ValueA = , ValueB = value-3137481794901393332, Score = 1
Key = key-602196, ValueA = , ValueB = value-2196734387636704024, Score = 1
Key = key-602196, ValueA = , ValueB = value-3601838616950324661, Score = 1
Key = key-327572, ValueA = , ValueB = value-7972862311058591205, Score = 1
Key = key-327590, ValueA = , ValueB = value-8268577574778357275, Score = 1
Key = key-327612, ValueA = , ValueB = value-3177837097097128783, Score = 1
Key = key-302748, ValueA = , ValueB = value-5270328989131446808, Score = 1
Key = key-44363, ValueA = , ValueB = value-3658832233192253707, Score = 1
Key = key-987775, ValueA = , ValueB = value-4989027548251975385, Score = 1
Key = key-602061, ValueA = , ValueB = value-5195922565556249794, Score = 1
Key = key-302808, ValueA = , ValueB = value-8731350284389163238, Score = 1
Key = key-602034, ValueA = , ValueB = value-3089793126361279230, Score = 1
Key = key-649853, ValueA = , ValueB = value-8147093495465642171, Score = 1
Key = key-327762, ValueA = , ValueB = value-2009505497366266713, Score = 1
Key = key-698102, ValueA = , ValueB = value-6230014785199052358, Score = 1
Key = key-831356, ValueA = , ValueB = value-1404815734607254755, Score = 1
Key = key-870951, ValueA = , ValueB = value-8665804085072762393, Score = 1
Key = key-635230, ValueA = , ValueB = value-7089970395422296039, Score = 1
Key = key-44546, ValueA = , ValueB = value-6829393979990801366, Score = 1
Key = key-773498, ValueA = , ValueB = value-514366123621600729, Score = 1
Key = key-274436, ValueA = , ValueB = value-8321465851692575939, Score = 1
Key = key-47709, ValueA = , ValueB = value-7294823586028155499, Score = 1
Key = key-181936, ValueA = , ValueB = value-4820357856117677513, Score = 1
Key = key-274518, ValueA = , ValueB = value-5189514782993161140, Score = 1
Key = key-44468, ValueA = , ValueB = value-8761394336971001891, Score = 1
Key = key-473935, ValueA = , ValueB = value-7349246451002436713, Score = 1
Key = key-473935, ValueA = , ValueB = value-4775957376302483648, Score = 1
Key = key-431700, ValueA = , ValueB = value-8886168702104696091, Score = 1
Key = key-274125, ValueA = , ValueB = value-4527589638249014915, Score = 1
Key = key-274169, ValueA = , ValueB = value-861220988017137651, Score = 1
Key = key-274181, ValueA = , ValueB = value-1716127536272886244, Score = 1
Key = key-973420, ValueA = , ValueB = value-481250264782194437, Score = 1
Key = key-905925, ValueA = , ValueB = value-2504176407762022906, Score = 1
Key = key-142756, ValueA = , ValueB = value-6276720770908287552, Score = 1
Key = key-170159, ValueA = , ValueB = value-4082827339212412996, Score = 1
Key = key-695198, ValueA = , ValueB = value-2134335725467990834, Score = 1
Key = key-406416, ValueA = , ValueB = value-165799048249179399, Score = 1
Key = key-406448, ValueA = , ValueB = value-4554056305097648658, Score = 1
Key = key-170189, ValueA = , ValueB = value-2072092408730109405, Score = 1
Key = key-277073, ValueA = , ValueB = value-1615629252191072648, Score = 1
Key = key-277073, ValueA = , ValueB = value-683797280683533788, Score = 1
Key = key-591223, ValueA = , ValueB = value-3845106627754095485, Score = 1
Key = key-184654, ValueA = , ValueB = value-1981558501555306182, Score = 1
Key = key-973552, ValueA = , ValueB = value-1179238762434469320, Score = 1
Key = key-121967, ValueA = , ValueB = value-1233574091904823816, Score = 1
Key = key-563392, ValueA = , ValueB = value-5552002886156411864, Score = 1
Key = key-806553, ValueA = , ValueB = value-1249437959383572905, Score = 1
Key = key-274231, ValueA = , ValueB = value-7260366136948974944, Score = 1
Key = key-274231, ValueA = , ValueB = value-8652769587649663299, Score = 1
Key = key-274261, ValueA = , ValueB = value-8002654827457020486, Score = 1
Key = key-806507, ValueA = , ValueB = value-6216487777483957553, Score = 1
Key = key-19674, ValueA = , ValueB = value-734462077960471940, Score = 1
Key = key-695064, ValueA = , ValueB = value-4585309614376986422, Score = 1
Key = key-734134, ValueA = , ValueB = value-6872730301336519277, Score = 1
Key = key-938251, ValueA = , ValueB = value-6459128963767835875, Score = 1
Key = key-30080, ValueA = , ValueB = value-1103625081946685974, Score = 1
Key = key-30080, ValueA = , ValueB = value-1286238990085773178, Score = 1
Key = key-409481, ValueA = , ValueB = value-5930596085475681458, Score = 1
Key = key-802128, ValueA = , ValueB = value-6603821951747980775, Score = 1
Key = key-72932, ValueA = , ValueB = value-5492172770755638281, Score = 1
Key = key-288902, ValueA = , ValueB = value-4109496100673949605, Score = 1
Key = key-470870, ValueA = , ValueB = value-3401442294176817439, Score = 1
Key = key-470877, ValueA = , ValueB = value-3992997422024049386, Score = 1
Key = key-159667, ValueA = , ValueB = value-7277236809956870522, Score = 1
Key = key-577722, ValueA = , ValueB = value-4468489114258297227, Score = 1
Key = key-409156, ValueA = , ValueB = value-6876528484923692762, Score = 1
Key = key-434119, ValueA = , ValueB = value-7122098348394905979, Score = 1
Key = key-806657, ValueA = , ValueB = value-3491927801080958666, Score = 1
Key = key-831597, ValueA = , ValueB = value-5833303075901452658, Score = 1
Key = key-538145, ValueA = , ValueB = value-6541810177189362759, Score = 1
Key = key-117093, ValueA = , ValueB = value-7270844063374101784, Score = 1
Key = key-181642, ValueA = , ValueB = value-1786784016605046616, Score = 1
Key = key-963324, ValueA = , ValueB = value-3200151088829528744, Score = 1
Key = key-709302, ValueA = , ValueB = value-7698238297588770360, Score = 1
Key = key-19854, ValueA = , ValueB = value-8954352088861951036, Score = 1
Key = key-891194, ValueA = , ValueB = value-1181475237625434484, Score = 1
Key = key-274021, ValueA = , ValueB = value-4984668655990300540, Score = 1
Key = key-19803, ValueA = , ValueB = value-471823490749237629, Score = 1
Key = key-748991, ValueA = , ValueB = value-1245200181646343957, Score = 1
Key = key-734354, ValueA = , ValueB = value-6743840245124111463, Score = 1
Key = key-30230, ValueA = , ValueB = value-9151634007908810531, Score = 1
Key = key-77281, ValueA = , ValueB = value-3741111103156985641, Score = 1
Key = key-577692, ValueA = , ValueB = value-2891790986769123244, Score = 1
Key = key-563071, ValueA = , ValueB = value-6139251453609311095, Score = 1
Key = key-577638, ValueA = , ValueB = value-3459377334983651645, Score = 1
Key = key-431074, ValueA = , ValueB = value-8656385419195700904, Score = 1
Key = key-431074, ValueA = , ValueB = value-7662274042628842886, Score = 1
Key = key-30512, ValueA = , ValueB = value-4289082264748422471, Score = 1
Key = key-30504, ValueA = , ValueB = value-1161798328257202250, Score = 1
Key = key-33675, ValueA = , ValueB = value-891837923940866102, Score = 1
Key = key-159948, ValueA = , ValueB = value-1872938440289458845, Score = 1
Key = key-998159, ValueA = , ValueB = value-485486799973803751, Score = 1
Key = key-142289, ValueA = , ValueB = value-3348620463484554222, Score = 1
Key = key-963475, ValueA = , ValueB = value-4829161295118400049, Score = 1
Key = key-963447, ValueA = , ValueB = value-54902374409722419, Score = 1
Key = key-470753, ValueA = , ValueB = value-3928211677076416613, Score = 1
Key = key-431110, ValueA = , ValueB = value-2904416319413537941, Score = 1
Key = key-406198, ValueA = , ValueB = value-8219091968739198316, Score = 1
Key = key-102436, ValueA = , ValueB = value-1118645719698450698, Score = 1
Key = key-523465, ValueA = , ValueB = value-2700903779953374940, Score = 1
Key = key-234213, ValueA = , ValueB = value-9027934497664074758, Score = 1
Key = key-919444, ValueA = , ValueB = value-8742839186113064535, Score = 1
Key = key-102462, ValueA = , ValueB = value-5097870826357747460, Score = 1
Key = key-562956, ValueA = , ValueB = value-894265688114668217, Score = 1
Key = key-102394, ValueA = , ValueB = value-1511917662854354793, Score = 1
Key = key-102354, ValueA = , ValueB = value-6362823980695982866, Score = 1
Key = key-523246, ValueA = , ValueB = value-8593484486264648179, Score = 1
Key = key-812885, ValueA = , ValueB = value-7626104357208174390, Score = 1
Key = key-787351, ValueA = , ValueB = value-4665630019631273110, Score = 1
Key = key-9285, ValueA = , ValueB = value-3468944474633493191, Score = 1
Key = key-655059, ValueA = , ValueB = value-6581115990835192576, Score = 1
Key = key-209493, ValueA = , ValueB = value-4857511764600738580, Score = 1
Key = key-905044, ValueA = , ValueB = value-6470355897762381154, Score = 1
Key = key-787450, ValueA = , ValueB = value-6752604746238881370, Score = 1
Key = key-694654, ValueA = , ValueB = value-6872054970507467451, Score = 1
Key = key-944778, ValueA = , ValueB = value-1275540845944408096, Score = 1
Key = key-930107, ValueA = , ValueB = value-4322913523796199016, Score = 1
Key = key-905117, ValueA = , ValueB = value-9006844827178226541, Score = 1
Key = key-537828, ValueA = , ValueB = value-2536281234289158355, Score = 1
Key = key-562655, ValueA = , ValueB = value-7005154697637076202, Score = 1
Key = key-523095, ValueA = , ValueB = value-941887895713963252, Score = 1
Key = key-9057, ValueA = , ValueB = value-2284689100027854555, Score = 1
Key = key-674, ValueA = , ValueB = value-4295315193496905302, Score = 1
Key = key-748078, ValueA = , ValueB = value-15397544251366007, Score = 1
Key = key-905253, ValueA = , ValueB = value-6099117504684372894, Score = 1
Key = key-273586, ValueA = , ValueB = value-5650242853810813180, Score = 1
Key = key-513, ValueA = , ValueB = value-4139113317889034241, Score = 1
Key = key-694292, ValueA = , ValueB = value-680712027254081611, Score = 1
Key = key-562475, ValueA = , ValueB = value-8514802375418159362, Score = 1
Key = key-405578, ValueA = , ValueB = value-3921162008348869236, Score = 1
Key = key-773279, ValueA = , ValueB = value-5445032966244246741, Score = 1
Key = key-405509, ValueA = , ValueB = value-5427523950075679550, Score = 1
Key = key-405509, ValueA = , ValueB = value-6916236794987840614, Score = 1
Key = key-537318, ValueA = , ValueB = value-1683822206172319584, Score = 1
Key = key-248513, ValueA = , ValueB = value-8912361529813704775, Score = 1
Key = key-405685, ValueA = , ValueB = value-7559973020839795648, Score = 1
Key = key-773380, ValueA = , ValueB = value-5176621177836083231, Score = 1
Key = key-352392, ValueA = , ValueB = value-39771564081045629, Score = 1
Key = key-826445, ValueA = , ValueB = value-4018332429136697167, Score = 1
Key = key-826445, ValueA = , ValueB = value-1007857796655614138, Score = 1
Key = key-366908, ValueA = , ValueB = value-5487305131081877294, Score = 1
Key = key-459178, ValueA = , ValueB = value-5925759226487645803, Score = 1
Key = key-220488, ValueA = , ValueB = value-1801419930312199156, Score = 1
Key = key-459149, ValueA = , ValueB = value-29001950698848038, Score = 1
Key = key-983337, ValueA = , ValueB = value-7450105097327555741, Score = 1
Key = key-498909, ValueA = , ValueB = value-712687058262969427, Score = 1
Key = key-851518, ValueA = , ValueB = value-4149085280724632292, Score = 1
Key = key-220333, ValueA = , ValueB = value-2404526685642274691, Score = 1
Key = key-484219, ValueA = , ValueB = value-4734593947741653688, Score = 1
Key = key-195202, ValueA = , ValueB = value-8439509776258174265, Score = 1
Key = key-655918, ValueA = , ValueB = value-1390956031519314996, Score = 1
Key = key-958414, ValueA = , ValueB = value-353861168731841122, Score = 1
Key = key-573091, ValueA = , ValueB = value-5008616782966167350, Score = 1
Key = key-498557, ValueA = , ValueB = value-3181199951739276376, Score = 1
Key = key-620618, ValueA = , ValueB = value-2991760118664159946, Score = 1
Key = key-498536, ValueA = , ValueB = value-3830899549045018310, Score = 1
Key = key-448676, ValueA = , ValueB = value-4989880863897724844, Score = 1
Key = key-573060, ValueA = , ValueB = value-336349154990416664, Score = 1
Key = key-455915, ValueA = , ValueB = value-8865383597336632060, Score = 1
Key = key-641268, ValueA = , ValueB = value-5921116221170451807, Score = 1
Key = key-448869, ValueA = , ValueB = value-103959604776173269, Score = 1
Key = key-76111, ValueA = , ValueB = value-3217517765409302985, Score = 1
Key = key-652240, ValueA = , ValueB = value-7548134496961490239, Score = 1
Key = key-448891, ValueA = , ValueB = value-7490334653591725361, Score = 1
Key = key-898951, ValueA = , ValueB = value-6874527810986431608, Score = 1
Key = key-919090, ValueA = , ValueB = value-1104482704507480300, Score = 1
Key = key-719993, ValueA = , ValueB = value-6227389978025103755, Score = 1
Key = key-641111, ValueA = , ValueB = value-3783239907595875001, Score = 1
Key = key-245729, ValueA = , ValueB = value-4710462105526092251, Score = 1
Key = key-6356, ValueA = , ValueB = value-5476937460016411011, Score = 1
Key = key-523968, ValueA = , ValueB = value-6552616969295501509, Score = 1
Key = key-727528, ValueA = , ValueB = value-4913205804028978842, Score = 1
Key = key-969024, ValueA = , ValueB = value-5566394069502310800, Score = 1
Key = key-983796, ValueA = , ValueB = value-754310886203482281, Score = 1
Key = key-983799, ValueA = , ValueB = value-7826203526285444796, Score = 1
Key = key-327030, ValueA = , ValueB = value-1705006524891790627, Score = 1
Key = key-76174, ValueA = , ValueB = value-1134266881432309431, Score = 1
Key = key-595192, ValueA = , ValueB = value-8793478079211745789, Score = 1
Key = key-616078, ValueA = , ValueB = value-6378401892791627691, Score = 1
Key = key-859422, ValueA = , ValueB = value-7933853906810920395, Score = 1
Key = key-680630, ValueA = , ValueB = value-5613734291684609471, Score = 1
Key = key-884402, ValueA = , ValueB = value-7425300541276562442, Score = 1
Key = key-409219, ValueA = , ValueB = value-3213919354074861899, Score = 1
Key = key-231099, ValueA = , ValueB = value-6801495166399541009, Score = 1
Key = key-15938, ValueA = , ValueB = value-2356810813356432106, Score = 1
Key = key-245675, ValueA = , ValueB = value-7305714117546141593, Score = 1
Key = key-306500, ValueA = , ValueB = value-2064440299513751400, Score = 1
Key = key-534950, ValueA = , ValueB = value-7586643075927373406, Score = 1
Key = key-919101, ValueA = , ValueB = value-7914530698248031084, Score = 1
Key = key-9929, ValueA = , ValueB = value-2355861467923469187, Score = 1
Key = key-209525, ValueA = , ValueB = value-1552681703069786799, Score = 1
Key = key-605919, ValueA = , ValueB = value-8252835977507909333, Score = 1
Key = key-523874, ValueA = , ValueB = value-7245268824983006369, Score = 1
Key = key-113883, ValueA = , ValueB = value-1411532009793426469, Score = 1
Key = key-97636, ValueA = , ValueB = value-1454462789624629410, Score = 1
Key = key-97639, ValueA = , ValueB = value-8506715883022368549, Score = 1
Key = key-15960, ValueA = , ValueB = value-5756383848221587634, Score = 1
Key = key-680508, ValueA = , ValueB = value-5928286143962046567, Score = 1
Key = key-944257, ValueA = , ValueB = value-5826994586585829880, Score = 1
Key = key-170210, ValueA = , ValueB = value-886860642620922525, Score = 1
Key = key-983958, ValueA = , ValueB = value-2159624921770733782, Score = 1
Key = key-463371, ValueA = , ValueB = value-600671723672017081, Score = 1
Key = key-652016, ValueA = , ValueB = value-2643179238030795208, Score = 1
Key = key-752691, ValueA = , ValueB = value-5377611547836654576, Score = 1
Key = key-523753, ValueA = , ValueB = value-2996130490767392605, Score = 1
Key = key-520286, ValueA = , ValueB = value-3752674294270962105, Score = 1
Key = key-331221, ValueA = , ValueB = value-294737413190320942, Score = 1
Key = key-231330, ValueA = , ValueB = value-6263636799030607216, Score = 1
Key = key-894541, ValueA = , ValueB = value-2983429749872937287, Score = 1
Key = key-520081, ValueA = , ValueB = value-1940539387406270683, Score = 1
Key = key-306293, ValueA = , ValueB = value-4530085151191509678, Score = 1
Key = key-149332, ValueA = , ValueB = value-1630043504469314112, Score = 1
Key = key-245333, ValueA = , ValueB = value-4876414656707459921, Score = 1
Key = key-270440, ValueA = , ValueB = value-6242143966902914881, Score = 1
Key = key-270440, ValueA = , ValueB = value-3028627726672938025, Score = 1
Key = key-730741, ValueA = , ValueB = value-1501504150219645606, Score = 1
Key = key-723118, ValueA = , ValueB = value-1903170579548738957, Score = 1
Key = key-188944, ValueA = , ValueB = value-1191307226890070255, Score = 1
Key = key-862619, ValueA = , ValueB = value-8174993327352223905, Score = 1
Key = key-395530, ValueA = , ValueB = value-6191717978542438351, Score = 1
Key = key-659603, ValueA = , ValueB = value-3339704021430292957, Score = 1
Key = key-270591, ValueA = , ValueB = value-9071918165482586420, Score = 1
Key = key-684680, ValueA = , ValueB = value-6661196173488150980, Score = 1
Key = key-527919, ValueA = , ValueB = value-5239527534055389898, Score = 1
Key = key-402508, ValueA = , ValueB = value-2721432669361729133, Score = 1
Key = key-477641, ValueA = , ValueB = value-3409358421748844745, Score = 1
Key = key-331263, ValueA = , ValueB = value-8612124292931493868, Score = 1
Key = key-691132, ValueA = , ValueB = value-857653498259432276, Score = 1
Key = key-869557, ValueA = , ValueB = value-8360432711799048250, Score = 1
Key = key-869557, ValueA = , ValueB = value-4244122787227379358, Score = 1
Key = key-855045, ValueA = , ValueB = value-9054288330694755861, Score = 1
Key = key-855045, ValueA = , ValueB = value-5072976928801096839, Score = 1
Key = key-980024, ValueA = , ValueB = value-2533502029097850614, Score = 1
Key = key-284895, ValueA = , ValueB = value-6251450147307178787, Score = 1
Key = key-270271, ValueA = , ValueB = value-5086761240729312256, Score = 1
Key = key-113762, ValueA = , ValueB = value-2344689722705497882, Score = 1
Key = key-345988, ValueA = , ValueB = value-1656476012904708490, Score = 1
Key = key-609916, ValueA = , ValueB = value-357088736463908551, Score = 1
Key = key-534274, ValueA = , ValueB = value-5444788858097406106, Score = 1
Key = key-737817, ValueA = , ValueB = value-5072157546113639681, Score = 1
Key = key-737824, ValueA = , ValueB = value-2908233714092157297, Score = 1
Key = key-573832, ValueA = , ValueB = value-2583347498414696003, Score = 1
Key = key-548914, ValueA = , ValueB = value-3473380356804301271, Score = 1
Key = key-284969, ValueA = , ValueB = value-7202235751889434684, Score = 1
Key = key-548932, ValueA = , ValueB = value-5957808711313357933, Score = 1
Key = key-270349, ValueA = , ValueB = value-5130104168618894090, Score = 1
Key = key-113610, ValueA = , ValueB = value-804282192730992297, Score = 1
Key = key-915978, ValueA = , ValueB = value-3626933722707485483, Score = 1
Key = key-783608, ValueA = , ValueB = value-6214654069200350033, Score = 1
Key = key-523606, ValueA = , ValueB = value-560119919767474947, Score = 1
Key = key-306331, ValueA = , ValueB = value-4716803669704028726, Score = 1
Key = key-306331, ValueA = , ValueB = value-6340915086534254438, Score = 1
Key = key-713214, ValueA = , ValueB = value-4007722503031686157, Score = 1
Key = key-362637, ValueA = , ValueB = value-2498639984955801434, Score = 1
Key = key-626733, ValueA = , ValueB = value-1185156351482455906, Score = 1
Key = key-58005, ValueA = , ValueB = value-5507755669939827528, Score = 1
Key = key-783679, ValueA = , ValueB = value-5303873193285516240, Score = 1
Key = key-494320, ValueA = , ValueB = value-4566961178980899819, Score = 1
Key = key-205690, ValueA = , ValueB = value-177203770070078933, Score = 1
Key = key-783760, ValueA = , ValueB = value-9186284232980268245, Score = 1
Key = key-744132, ValueA = , ValueB = value-541530003568529342, Score = 1
Key = key-771634, ValueA = , ValueB = value-7962297153232181884, Score = 1
Key = key-894613, ValueA = , ValueB = value-1928260224107502625, Score = 1
Key = key-612031, ValueA = , ValueB = value-678414393200528093, Score = 1
Key = key-845130, ValueA = , ValueB = value-5115850399731902354, Score = 1
Key = key-494436, ValueA = , ValueB = value-1764611596072644357, Score = 1
Key = key-614783, ValueA = , ValueB = value-3902844910227174520, Score = 1
Key = key-600184, ValueA = , ValueB = value-6621281205476239371, Score = 1
Key = key-600184, ValueA = , ValueB = value-1967736727934025246, Score = 1
Key = key-880182, ValueA = , ValueB = value-2466704257125132728, Score = 1
Key = key-880168, ValueA = , ValueB = value-6122887764411011186, Score = 1
Key = key-732107, ValueA = , ValueB = value-5668514164740616800, Score = 1
Key = key-651555, ValueA = , ValueB = value-6746653770364823943, Score = 1
Key = key-193189, ValueA = , ValueB = value-1141407053250431830, Score = 1
Key = key-758882, ValueA = , ValueB = value-2794586036726077745, Score = 1
Key = key-783852, ValueA = , ValueB = value-5422910033725009259, Score = 1
Key = key-350797, ValueA = , ValueB = value-3107109394170037697, Score = 1
Key = key-870195, ValueA = , ValueB = value-1710312052093201133, Score = 1
Key = key-737965, ValueA = , ValueB = value-5736507246756598803, Score = 1
Key = key-600055, ValueA = , ValueB = value-6750604373333660104, Score = 1
Key = key-193473, ValueA = , ValueB = value-6790802736825502178, Score = 1
Key = key-224207, ValueA = , ValueB = value-3461429222340879854, Score = 1
Key = key-350369, ValueA = , ValueB = value-1859703670218005603, Score = 1
Key = key-614506, ValueA = , ValueB = value-3683184198393756954, Score = 1
Key = key-626454, ValueA = , ValueB = value-2417640366158794420, Score = 1
Key = key-626454, ValueA = , ValueB = value-8247707462575091233, Score = 1
Key = key-659495, ValueA = , ValueB = value-4436012279550970025, Score = 1
Key = key-855158, ValueA = , ValueB = value-8167794283824447408, Score = 1
Key = key-901739, ValueA = , ValueB = value-1315684502817428942, Score = 1
Key = key-901730, ValueA = , ValueB = value-6408213751209947798, Score = 1
Key = key-325553, ValueA = , ValueB = value-7975985557792797956, Score = 1
Key = key-325553, ValueA = , ValueB = value-6889495649141198895, Score = 1
Key = key-880237, ValueA = , ValueB = value-3219996790761770882, Score = 1
Key = key-552542, ValueA = , ValueB = value-3399795851352641953, Score = 1
Key = key-651263, ValueA = , ValueB = value-243360381386972408, Score = 1
Key = key-690862, ValueA = , ValueB = value-1875029380515394693, Score = 1
Key = key-469088, ValueA = , ValueB = value-4434421591644613052, Score = 1
Key = key-339784, ValueA = , ValueB = value-1794791543549034789, Score = 1
Key = key-876349, ValueA = , ValueB = value-551235661090360026, Score = 1
Key = key-244772, ValueA = , ValueB = value-2906064063288884037, Score = 1
Key = key-395345, ValueA = , ValueB = value-3489281786163367258, Score = 1
Key = key-81103, ValueA = , ValueB = value-4291749699535190995, Score = 1
Key = key-713421, ValueA = , ValueB = value-5825901771527798268, Score = 1
Key = key-713421, ValueA = , ValueB = value-247570230893238346, Score = 1
Key = key-977043, ValueA = , ValueB = value-1192493426688759318, Score = 1
Key = key-4291, ValueA = , ValueB = value-3758395028035217746, Score = 1
Key = key-744605, ValueA = , ValueB = value-3279002814148523245, Score = 1
Key = key-855217, ValueA = , ValueB = value-4637829468310816538, Score = 1
Key = key-56108, ValueA = , ValueB = value-5246880504690460837, Score = 1
Key = key-614324, ValueA = , ValueB = value-3586100248689263287, Score = 1
Key = key-56117, ValueA = , ValueB = value-6301563668328107604, Score = 1
Key = key-665739, ValueA = , ValueB = value-1858107302103418773, Score = 1
Key = key-665739, ValueA = , ValueB = value-8446175267688913835, Score = 1
Key = key-614260, ValueA = , ValueB = value-7865242261122554458, Score = 1
Key = key-457101, ValueA = , ValueB = value-482137314594113720, Score = 1
Key = key-901968, ValueA = , ValueB = value-4269302789846209577, Score = 1
Key = key-395084, ValueA = , ValueB = value-2794525908264611461, Score = 1
Key = key-331198, ValueA = , ValueB = value-210575111457085277, Score = 1
Key = key-230473, ValueA = , ValueB = value-4075538903677589432, Score = 1
Key = key-68315, ValueA = , ValueB = value-2406605035148812187, Score = 1
Key = key-331146, ValueA = , ValueB = value-8494069269910299888, Score = 1
Key = key-705187, ValueA = , ValueB = value-7224753334637052619, Score = 1
Key = key-744778, ValueA = , ValueB = value-5358976178147135345, Score = 1
Key = key-331159, ValueA = , ValueB = value-5497804951170756066, Score = 1
Key = key-837017, ValueA = , ValueB = value-937670717427103726, Score = 1
Key = key-690645, ValueA = , ValueB = value-9165253749925520537, Score = 1
Key = key-884987, ValueA = , ValueB = value-1634805255292759468, Score = 1
Key = key-845377, ValueA = , ValueB = value-5970342052144870621, Score = 1
Key = key-713506, ValueA = , ValueB = value-3263755607514066659, Score = 1
Key = key-170914, ValueA = , ValueB = value-7200191447880189693, Score = 1
Key = key-502774, ValueA = , ValueB = value-8537090689599271256, Score = 1
Key = key-634624, ValueA = , ValueB = value-3911841637682153053, Score = 1
Key = key-477232, ValueA = , ValueB = value-2669727883523493125, Score = 1
Key = key-884909, ValueA = , ValueB = value-8084230738065394404, Score = 1
